ID,Species,AAM,Loc,Loc_type,Condition,habitat,Code,Sp_Code,Latitude,Longitude,AnnualTemp,WarmTemp,ColdTemp,AnnualDD,AnnualDD.5,AnnualDD.10
12,Silver,3.5,Balyktchy fish farm; vicinity of Tashkent,calculated,artificial,farm,M,BK,41.3,69.2667,14.7,26.4,2.8,5658.168911,4055.17702,2699.131044
10,Bighead,4.5,Balyktchy ,calculated,artificial,fish farm,M,B,41.3,69.2667,14.7,26.4,2.8,5658.168911,4055.17702,2699.131044
14,Silver,4.5,Cen_China,calculated,both (Korunuma 1968),both,N,BL,31.2257,112.4966,16.5,27.3,5,6188.022786,4460.400063,3002.99433
13,Bighead,4.5,Cen_China,calculated,?,"two sources, one from pond, one still try to find the original references",N,C,31.2257,112.4966,16.5,27.3,5,6188.022786,4460.400063,3002.99433
17,Black,6,CenE_China,calculated,,,O,R,32.3309,116.3841,15.9,27.3,3.8,6001.239111,4319.675244,2918.370744
19,Silver,3.5,CenE_China,calculated,artificial,pond,O,BM,32.3309,116.3841,15.9,27.3,3.8,6001.239111,4319.675244,2918.370744
18,Grass,4.5,CenE_China,calculated,artificial,pond,O,BA,32.3309,116.3841,15.9,27.3,3.8,6001.239111,4319.675244,2918.370744
16,Bighead,5,CenE_China,calculated,artificial,pond,O,D,32.3309,116.3841,15.9,27.3,3.8,6001.239111,4319.675244,2918.370744
20,Grass,4,CenSouth_China,calculated,na,na,P,BB,25.7597,111.1713,16.9,26.1,6.8,6424.524932,4658.664045,3104.196636
21,Grass,3.5,CenSouth_Russia,calculated,artificial,pond,Q,BC,53.2293,43.4146,4.7,18.6,-9.8,2951.964856,1909.823588,1061.735868
22,Silver,2,Cuba,calculated,?,?,R,BN,21.5079,-77.8094,25.3,27.4,22.5,9515.247063,7689.104206,5862.961348
24,Grass,3,Cuttack,specific,artificial,pond,S,BD,20.4625,85.883,27.6,31.7,22.8,10112.93957,8286.796716,6460.653859
25,Silver,3,Cuttack,specific,artificial,pond,S,BO,20.4625,85.883,27.6,31.7,22.8,10112.93957,8286.796716,6460.653859
23,Bighead,3,Cuttack,specific,artificial,pond,S,E,20.4625,85.883,27.6,31.7,22.8,10112.93957,8286.796716,6460.653859
32,Silver,5.5,Heilongjiang,calculated,na,na,T,BQ,49.6142,127.9869,0.5,19.2,-21,2932.709895,1962.413358,1160.191709
33,Black,6,Hukou,calculated,,,U,T,29.6447,116.3075,17.4,28.2,6,5470.675691,3831.509097,2444.138028
34,Grass,6.5,Hungary,calculated,na,na,V,BE,47.3371,19.5343,10.4,19.9,-0.1,4178.685372,2723.350859,1570.708516
36,Silver,3.5,Jiangsu,calculated,na,na,W,BR,33.0743,119.5496,14.8,26.3,2.8,5700.953814,4053.197194,2699.525026
37,Grass,4,Kapchagay ,calculated,natural,river (reservoir),X,BF,43.921,77.0974,8.2,21.8,-6.5,4592.134396,3250.387022,2126.244048
38,Grass,8.5,Khabarovsk,specific,natural,river,Y,BG,50.6966,137.7157,-0.1,16.8,-19.7,2531.346922,1616.687889,882.6675908
42,Grass,4.75,Krasnodar,specific,artificial,pond,Z,BH,45.0448,38.976,11.6,22.3,1.1,4717.598292,3200.768286,1989.002356
41,Bighead,4.5,Krasnodar,specific,natural,river,Z,H,45.0448,38.976,11.6,22.3,1.1,4717.598292,3200.768286,1989.002356
41,Bighead,5,Krasnodar,specific,artificial,fish farm,Z,H,45.0448,38.976,11.6,22.3,1.1,4717.598292,3200.768286,1989.002356
,,,,,,,,,,,,,,,,
